transaction_amount,transaction_time,distance_from_home_km,merchant_risk_score,device_trust_score,failed_attempts,previous_transactions,account_age_days,online_transaction,international_transaction,is_fraud
53.31,67698,46.79,0.05,0.647,0,8,628,1,0,0
27.05,36766,22.46,0.159,0.611,0,11,369,0,0,0
7.47,23885,11.3,0.181,0.868,1,11,1622,1,0,0
36.93,36460,14.8,0.329,0.889,1,6,3421,0,0,0
25.95,26415,50.03,0.484,0.757,1,5,567,0,0,0
23.92,41290,9.64,0.043,0.46,0,11,879,1,0,0
17.51,54815,11.96,0.184,0.731,1,4,1338,0,0,0
29.06,60116,36.32,0.184,0.773,1,11,1256,0,0,0
40.77,46038,5.59,0.104,0.592,1,7,1158,0,0,0
183.56,49725,26.92,0.122,0.983,0,9,1428,1,0,0
29.66,38914,14.24,0.279,0.723,1,5,106,1,0,0
90.82,40318,17.34,0.201,0.697,0,14,1600,0,0,0
36.1,42131,38.65,0.132,1.0,0,10,2440,1,0,0
25.04,43513,124.52,0.094,0.658,0,11,525,1,0,0
30.53,45139,44.52,0.065,0.591,0,10,1042,0,0,0
10.2,42381,4.38,0.14,0.67,1,11,365,0,0,0
34.63,10423,6.36,0.136,0.866,0,9,2319,1,0,0
39.97,2216,4.72,0.294,0.539,2,4,366,0,1,1
13.6,32304,31.76,0.039,0.399,0,8,2979,0,0,0
29.6,71872,17.8,0.217,0.899,0,13,93,0,0,0
70.47,15573,58.02,0.259,1.0,0,8,1457,1,0,0
85.16,24094,1.25,0.165,0.665,0,9,146,0,0,0
22.44,74907,7.48,0.219,0.919,1,9,2500,0,0,0
30.71,36363,6.19,0.122,1.0,0,13,1135,0,0,0
59.59,20751,34.08,0.076,0.517,0,10,816,0,0,0
9.36,55008,15.63,0.173,0.566,1,6,1266,0,0,0
37.48,10051,0.38,0.151,0.831,0,5,565,0,0,0
13.98,54153,37.12,0.231,0.654,1,7,30,1,0,0
23.63,737,11.23,0.163,0.795,0,11,354,0,1,0
18.78,76520,7.54,0.13,0.684,1,9,702,0,1,0
38.41,19202,5.04,0.14,0.848,0,8,239,1,0,0
42.11,13086,72.97,0.173,0.737,0,11,1007,1,0,0
3.31,84083,171.26,0.601,0.204,0,7,61,1,0,1
35.82,78784,1.99,0.352,1.0,0,10,928,0,0,0
31.1,84996,6.62,0.599,0.733,0,6,2705,1,0,0
119.49,28737,25.97,0.214,1.0,1,11,240,1,0,0
8.01,41486,27.75,0.504,1.0,0,12,1022,0,0,0
105.27,33216,13.52,0.244,0.857,0,12,1192,1,0,0
21.5,44180,21.01,0.135,0.847,0,8,720,1,0,0
42.81,14436,30.32,0.051,0.794,2,3,1024,1,0,0
20.89,49094,75.15,0.168,0.469,0,7,892,0,0,0
15.46,23818,32.28,0.16,0.797,0,13,595,1,0,0
39.95,72409,2.92,0.539,0.908,0,9,1656,0,0,0
62.41,72233,31.63,0.04,0.68,0,9,208,1,0,0
39.58,4161,1.75,0.116,0.509,0,7,496,1,0,0
17.57,10043,17.45,0.234,0.907,0,9,823,0,1,0
487.4,65655,18.71,0.369,1.0,1,14,1776,0,0,0
70.73,14580,37.66,0.41,0.905,0,12,1286,0,0,0
57.21,53636,0.29,0.36,0.75,0,7,627,0,0,0
20.44,12574,51.94,0.207,0.771,0,8,3813,1,0,0
16.44,31791,27.26,0.043,0.699,0,12,1855,1,1,0
21.67,84767,0.79,0.067,0.878,0,12,403,0,1,0
64.4,50942,4.36,0.092,0.965,0,8,727,1,0,0
12.27,49502,1.01,0.279,0.852,0,6,1561,1,0,0
11.54,10394,36.3,0.163,0.744,0,14,952,1,1,0
41.75,2250,4.69,0.257,0.888,0,7,102,0,0,0
35.0,21444,1.17,0.097,0.764,0,5,2008,1,0,0
14.64,46964,3.71,0.034,0.959,2,11,120,1,0,0
11.33,22967,20.5,0.496,0.525,0,9,456,0,0,0
85.65,19621,17.1,0.111,0.879,0,7,596,0,0,0
36.08,24623,7.07,0.683,0.619,0,10,155,1,0,0
9.11,61140,71.59,0.331,0.908,2,7,39,0,1,0
9.63,54999,48.24,0.06,0.916,0,4,544,1,0,0
20.3,46045,9.44,0.281,0.874,0,6,780,1,1,0
48.73,46896,16.09,0.026,0.972,0,9,881,1,0,0
43.64,15016,18.18,0.286,0.969,1,8,599,1,0,0
67.04,80917,35.28,0.325,0.731,0,9,235,1,0,0
8.23,16321,13.96,0.007,0.896,0,7,682,0,0,0
32.43,11376,19.77,0.245,0.455,0,6,170,1,0,0
84.84,18276,13.3,0.27,0.743,0,11,1597,0,0,0
78.75,82817,35.97,0.213,0.615,0,9,2170,0,0,0
36.13,34506,20.29,0.277,0.618,1,11,436,0,0,0
177.4,79392,43.97,0.342,0.634,0,8,1604,1,0,0
44.14,25544,1.38,0.358,0.851,0,8,37,1,0,0
62.44,76730,58.67,0.054,0.826,0,10,1262,1,0,0
28.09,60504,42.79,0.343,0.686,0,4,1508,0,1,0
14.52,45701,42.66,0.129,0.466,0,9,424,0,0,0
13.46,35271,3.78,0.178,0.871,0,12,297,1,0,0
31.35,22444,7.65,0.187,0.538,0,16,632,0,0,0
22.89,9662,98.13,0.222,0.687,0,10,2234,1,0,0
6.59,52651,75.03,0.175,0.548,1,11,981,1,0,0
11.93,77358,6.42,0.658,0.805,0,10,444,1,0,0
21.02,13252,14.18,0.075,0.406,1,11,1021,1,0,0
48.51,27214,4.24,0.15,0.904,1,6,137,0,0,0
26.77,35329,7.62,0.152,0.714,0,6,1265,1,0,0
25.59,16350,5.11,0.213,0.868,0,9,1951,1,0,0
12.31,19987,2.11,0.03,0.586,0,7,1156,1,1,0
27.62,49538,21.66,0.106,0.967,0,5,33,0,1,0
77.89,6761,6.89,0.032,0.704,0,9,1247,1,0,0
30.71,24358,121.47,0.257,0.407,0,9,56,1,0,0
8.12,54601,18.11,0.242,0.384,0,13,1352,1,0,0
9.96,3751,11.12,0.116,1.0,0,5,1019,1,0,0
43.42,5844,61.09,0.094,0.843,0,9,539,0,0,0
22.66,29153,24.24,0.102,0.91,0,6,453,0,0,0
25.54,8491,3.4,0.22,0.731,0,14,52,0,0,0
16.61,16415,17.22,0.363,0.826,0,10,1341,1,0,0
40.56,8733,14.54,0.268,0.947,1,8,1525,1,1,0
21.31,30516,36.22,0.325,0.772,2,13,1017,1,0,0
23.35,49698,29.59,0.227,0.918,0,7,545,1,0,0
13.72,14759,11.58,0.423,0.598,0,7,164,0,0,0
56.68,86060,15.85,0.186,1.0,0,11,504,1,0,0
22.72,24955,18.29,0.099,1.0,0,11,205,1,0,0
44.09,83835,13.72,0.214,0.589,1,5,1178,1,0,0
10.43,54206,2.85,0.238,0.584,0,11,863,1,0,0
72.52,26761,52.91,0.264,0.614,0,15,324,1,1,1
75.33,24110,27.91,0.255,0.83,0,14,930,1,0,0
5.88,12695,15.86,0.412,0.775,2,5,242,1,0,0
14.27,75793,21.08,0.14,0.511,1,7,1545,1,0,0
39.73,50872,5.99,0.149,0.711,0,10,308,0,0,0
9.43,65453,18.91,0.188,0.925,0,10,239,0,0,0
24.4,32938,34.26,0.177,0.537,0,14,1367,1,1,0
38.14,31820,19.07,0.015,0.829,0,9,109,0,0,0
23.39,8591,16.38,0.015,0.777,0,8,3549,1,0,0
41.72,48013,15.52,0.076,0.717,0,6,1750,0,0,0
15.57,11784,35.85,0.107,0.988,0,8,621,1,0,0
4.5,64712,34.99,0.362,0.607,0,12,339,0,0,0
59.48,28228,34.66,0.321,0.745,0,9,1136,0,0,0
59.18,83260,7.06,0.262,0.764,0,5,1547,1,0,0
200.92,62986,24.05,0.194,0.804,0,7,2103,0,0,0
4.64,24466,37.73,0.238,1.0,0,7,50,1,0,0
49.44,11813,20.63,0.199,0.619,0,12,1584,1,0,0
5.61,6620,37.74,0.057,0.889,0,9,520,0,0,0
110.52,25924,48.17,0.088,0.878,0,11,113,1,0,0
40.06,73458,4.78,0.264,0.912,0,11,523,1,0,0
12.66,54006,9.14,0.319,0.796,0,11,815,1,0,0
50.61,34857,22.99,0.248,0.6,0,11,212,1,0,0
17.42,16939,8.55,0.157,0.921,0,8,856,1,1,0
34.48,75682,70.92,0.126,0.697,0,8,1290,1,0,0
31.97,62743,5.4,0.253,0.973,1,8,1748,1,0,0
109.44,68811,11.04,0.229,0.574,0,12,1412,1,0,0
115.81,15078,129.21,0.532,1.0,0,12,371,1,0,0
16.81,58146,5.24,0.317,0.995,1,8,390,1,0,0
63.21,37714,14.89,0.16,0.679,0,12,965,1,0,0
36.01,845,9.41,0.216,0.652,1,11,147,1,0,0
8.76,30678,41.49,0.126,0.695,0,6,1666,1,0,0
15.53,6653,9.07,0.121,0.767,0,8,350,1,1,0
175.72,66855,4.4,0.106,0.804,0,9,343,1,0,0
36.1,86037,67.63,0.078,0.848,0,6,267,0,0,0
60.33,42670,9.55,0.328,0.777,2,7,79,1,1,0
39.21,21487,110.78,0.202,0.493,5,10,40,1,1,1
17.6,79868,8.58,0.228,0.742,0,11,1126,0,0,0
27.71,24817,4.92,0.198,0.725,0,5,1311,1,0,0
21.91,68426,40.54,0.188,1.0,0,11,1330,0,0,0
8.21,35393,1.43,0.318,0.524,0,8,63,0,0,0
12.15,5513,10.09,0.325,1.0,0,11,95,1,0,0
47.77,60842,37.86,0.279,0.634,0,7,126,0,1,0
19.99,8644,17.94,0.09,0.551,0,8,499,0,0,0
27.68,34397,29.25,0.168,0.705,0,10,1164,1,0,0
32.72,23520,1.73,0.265,0.988,0,10,836,0,1,0
34.83,47512,34.64,0.383,0.96,0,10,709,1,0,0
67.85,53869,4.72,0.088,0.813,1,16,321,0,0,0
11.26,33326,41.35,0.292,0.807,0,9,657,0,0,0
42.79,40838,20.76,0.243,0.91,1,8,986,1,0,0
49.6,62311,33.6,0.084,0.821,0,9,375,1,1,0
59.66,43675,5.98,0.254,0.807,1,10,699,1,0,0
8.76,64079,12.58,0.33,0.517,0,15,1109,0,0,0
33.24,66604,40.5,0.348,0.51,0,9,604,0,0,0
107.0,43714,60.42,0.116,0.721,0,8,4198,1,0,0
25.05,42220,6.42,0.281,0.469,0,9,3113,1,0,0
39.92,10962,39.42,0.175,0.596,0,6,1684,1,0,0
50.62,65106,2.87,0.107,0.833,1,6,874,1,1,0
11.94,81008,13.87,0.066,0.875,0,8,666,0,0,0
117.57,73346,69.81,0.191,0.753,1,8,2196,1,0,0
40.43,73532,72.57,0.074,0.721,0,13,864,0,0,0
41.08,16833,8.8,0.36,0.854,0,12,153,1,0,0
7.17,69175,5.36,0.29,0.648,0,11,169,1,0,0
51.19,1913,4.05,0.139,0.523,0,14,260,0,0,0
40.66,43757,16.39,0.232,0.728,0,6,432,0,0,0
99.42,57076,2.41,0.105,0.69,1,9,719,0,0,0
21.14,70864,11.03,0.081,0.574,0,9,484,1,1,0
12.3,38177,0.43,0.222,0.998,0,7,1332,1,0,0
15.71,51697,7.51,0.203,0.807,1,11,62,1,1,0
18.1,61839,57.63,0.172,0.524,0,14,435,1,1,0
11.08,70863,14.81,0.081,0.799,0,8,71,0,0,0
76.11,30118,1.92,0.163,0.692,0,10,522,0,0,0
78.43,36229,26.02,0.481,0.93,0,12,448,0,0,0
23.18,7533,77.88,0.112,1.0,0,6,2715,1,0,0
19.8,64071,15.56,0.177,0.451,0,11,730,1,0,0
6.34,66995,24.47,0.1,0.757,0,8,102,0,0,0
47.31,64823,62.96,0.268,0.591,0,4,528,0,1,0
101.77,44178,13.58,0.135,0.368,0,12,189,1,0,0
16.28,30411,27.31,0.164,1.0,0,12,485,0,1,0
24.69,16840,14.53,0.169,0.737,2,12,110,1,0,0
33.26,8168,38.73,0.23,0.418,1,12,380,1,0,1
107.72,59228,17.52,0.332,0.628,0,15,334,1,1,0
31.81,38298,54.21,0.083,0.766,1,9,1113,0,1,0
31.7,66180,17.69,0.472,0.768,0,9,379,0,0,0
31.29,76057,27.59,0.186,0.653,0,6,1626,1,1,0
8.67,12701,12.2,0.095,0.762,0,3,1797,0,0,0
8.52,72800,62.39,0.181,1.0,0,9,1446,0,0,0
14.21,26786,26.03,0.128,0.6,0,12,1012,1,0,0
60.97,21322,0.5,0.194,0.712,1,7,833,1,1,0
20.73,46516,0.39,0.02,1.0,0,3,253,1,0,0
17.75,56515,28.19,0.086,0.737,0,6,74,0,0,0
17.5,71283,3.03,0.433,0.407,0,11,1508,1,0,0
24.29,86176,31.48,0.064,0.718,0,8,222,0,0,0
105.81,86270,9.72,0.265,0.366,0,10,1756,1,0,0
24.02,68297,19.35,0.217,0.662,0,10,1125,1,0,0
14.45,59386,4.79,0.112,0.84,0,7,269,1,0,0
27.67,57379,7.07,0.297,0.632,0,13,1645,0,0,0
110.4,64816,14.36,0.047,0.839,2,9,339,0,0,0
18.13,14301,27.38,0.465,0.669,0,7,298,1,0,0
10.54,74036,4.23,0.423,0.947,0,8,678,1,0,0
18.16,71553,8.26,0.249,0.841,0,12,1694,0,1,0
30.05,72383,5.8,0.245,0.695,0,14,1319,0,0,0
47.02,74516,49.63,0.239,0.569,0,11,321,0,0,0
60.67,16674,26.1,0.275,0.605,0,7,526,0,0,0
11.74,597,15.8,0.153,0.803,1,12,1301,1,0,0
12.67,37295,73.41,0.127,0.794,1,14,194,0,0,0
20.93,34325,33.28,0.116,0.867,1,8,353,0,1,0
46.88,53752,67.29,0.226,0.825,1,11,1366,1,0,0
9.89,33440,22.76,0.041,0.91,0,8,227,1,0,0
16.68,17962,3.71,0.078,0.604,0,12,93,1,0,0
16.87,83352,28.13,0.086,0.748,0,10,248,1,1,0
57.59,8232,5.63,0.134,0.81,0,7,316,1,0,0
41.37,4479,10.61,0.065,0.642,0,11,1279,1,0,0
55.87,84853,17.81,0.417,0.4,0,9,405,1,0,0
79.12,83234,4.28,0.15,0.764,0,10,1442,0,0,0
21.23,50967,0.53,0.27,0.638,1,9,1340,1,0,0
10.49,37046,9.9,0.433,0.425,0,9,1065,1,0,0
10.54,50215,43.48,0.005,0.577,2,7,1501,1,0,0
6.23,46678,0.39,0.253,0.659,0,7,422,0,0,0
18.78,11488,2.9,0.278,0.639,0,6,281,0,0,0
19.94,5404,41.11,0.234,0.805,0,11,1204,1,0,0
50.91,12425,9.13,0.06,0.733,0,5,42,0,1,0
27.48,71129,69.6,0.194,0.654,0,9,1231,1,0,0
18.32,45543,11.96,0.271,0.918,1,9,1067,1,0,0
24.71,62015,39.83,0.067,0.957,2,10,106,1,0,0
11.81,68212,7.49,0.195,0.911,1,11,260,0,0,0
61.58,58977,1.6,0.089,0.691,1,8,798,0,0,0
14.46,5265,53.33,0.38,0.745,0,6,2188,1,0,0
10.89,47512,65.53,0.045,0.919,0,7,186,0,1,0
52.16,83028,30.78,0.543,0.841,0,11,529,0,0,0
42.92,56926,36.75,0.282,0.624,1,8,1852,1,0,0
6.83,36629,0.18,0.213,0.709,0,7,1816,1,0,0
53.73,70490,35.04,0.345,0.779,0,7,2758,1,0,0
14.98,66648,15.98,0.184,0.842,0,5,1136,0,0,0
20.1,66648,15.07,0.405,0.827,0,11,58,1,1,0
31.49,16733,19.42,0.32,0.575,0,12,229,0,0,0
43.35,36730,7.91,0.06,0.7,0,10,1310,1,0,0
38.72,83843,29.79,0.056,1.0,0,9,530,0,0,0
26.05,23712,8.76,0.046,0.777,0,6,323,1,0,0
19.3,65578,20.45,0.114,0.782,0,9,905,1,0,0
37.7,71413,3.68,0.222,0.804,0,7,508,0,0,0
24.66,26881,28.1,0.202,0.639,0,7,1252,1,0,0
114.93,71510,5.26,0.151,0.974,0,11,193,0,0,0
43.34,15518,4.67,0.3,0.754,0,18,199,1,1,0
12.95,15491,0.61,0.222,0.671,0,5,1590,0,0,0
18.5,48686,3.25,0.084,0.758,0,14,266,1,0,0
28.18,32344,6.62,0.245,1.0,0,9,1019,1,0,0
76.67,78892,6.29,0.7,0.167,1,6,1891,1,1,0
83.84,46069,9.93,0.071,0.95,1,10,2410,1,0,0
19.75,46273,1.4,0.142,0.58,0,10,705,1,0,0
12.85,50438,68.41,0.362,1.0,1,5,831,0,0,0
11.6,59826,3.17,0.398,0.61,0,8,836,1,0,0
33.18,78353,30.26,0.246,0.773,1,5,278,1,0,0
171.23,55158,19.15,0.08,0.845,1,10,180,1,0,0
41.73,11560,20.12,0.093,0.728,0,7,251,1,0,0
7.58,81396,2.79,0.228,0.843,1,6,473,0,0,0
15.17,59460,6.97,0.084,0.758,0,6,391,0,0,0
16.46,50200,37.84,0.173,0.647,0,10,307,0,0,0
14.05,51767,15.58,0.343,0.715,1,8,463,0,0,0
19.88,16896,15.27,0.081,0.566,1,1,1607,0,0,0
36.43,22497,19.74,0.072,0.59,0,11,1024,0,0,0
46.79,82102,14.22,0.104,0.861,0,14,966,0,0,0
64.94,81794,41.01,0.107,0.735,1,5,1321,1,0,0
41.24,34869,34.53,0.194,0.815,1,6,416,1,0,0
5.68,82079,9.53,0.168,0.769,0,9,1127,0,1,0
31.59,44417,108.84,0.417,0.706,0,9,1118,1,1,1
23.89,5568,18.28,0.313,0.576,0,7,247,0,0,0
30.5,43271,24.7,0.557,0.96,1,9,295,1,0,0
54.01,19052,50.28,0.091,0.918,1,5,843,0,0,0
28.07,44013,16.16,0.163,0.833,2,6,456,1,0,0
28.24,19499,35.29,0.224,0.667,0,10,302,1,0,0
32.79,1307,24.73,0.25,0.7,0,12,1975,1,1,0
22.11,75922,13.91,0.068,1.0,0,6,1030,1,1,0
29.06,21943,38.9,0.089,1.0,1,10,174,1,0,0
66.73,77203,2.78,0.263,0.948,0,11,1586,1,0,0
25.35,75497,21.76,0.062,0.945,1,9,1564,0,0,0
26.47,85175,1.19,0.067,1.0,0,5,453,1,0,0
26.39,35362,4.25,0.486,0.821,0,8,1223,1,0,0
76.57,17616,22.84,0.086,0.756,0,9,898,1,0,0
11.17,4967,9.19,0.223,0.712,0,6,412,1,0,0
112.24,41534,7.61,0.045,0.811,0,7,486,1,0,0
10.58,16465,78.0,0.146,0.657,0,8,630,1,0,0
16.06,57606,11.39,0.109,0.679,0,12,3089,1,0,0
49.19,77718,20.8,0.086,0.598,0,9,132,0,0,0
61.82,19929,19.1,0.091,0.954,0,13,2076,0,1,0
8.82,22830,1.6,0.133,0.732,0,8,2225,1,0,0
11.31,86221,28.04,0.316,0.83,0,11,1639,0,0,0
33.86,50607,17.98,0.196,0.913,1,12,3018,0,0,0
176.89,16478,12.01,0.234,0.631,0,8,256,1,0,0
73.48,65086,1.71,0.314,0.986,0,8,1450,0,0,0
22.23,51189,8.67,0.05,0.726,1,9,83,1,0,0
3.91,15988,53.87,0.194,0.527,0,10,274,0,0,0
28.94,10441,4.77,0.081,0.586,0,13,186,1,0,0
36.23,15609,6.19,0.277,0.579,1,9,776,1,0,0
19.96,3670,5.74,0.166,1.0,0,10,2273,1,0,0
13.73,75073,55.37,0.242,0.725,0,16,387,0,0,0
30.79,21028,30.1,0.143,0.816,0,7,92,1,0,0
12.76,51836,53.39,0.143,0.599,0,10,248,0,1,0
121.26,74727,61.26,0.258,0.993,1,5,1207,1,0,0
91.23,9216,65.77,0.185,0.699,0,7,929,1,0,0
45.89,14255,16.62,0.359,0.555,0,9,927,0,0,0
29.13,21841,16.17,0.278,0.57,0,9,1174,0,0,0
15.99,12578,44.14,0.212,1.0,0,12,594,1,0,0
26.67,20550,10.08,0.148,0.484,0,14,500,1,1,0
100.63,69739,0.56,0.15,0.923,0,15,1427,0,0,0
54.32,48617,10.07,0.177,0.595,0,12,511,0,0,0
31.91,62644,31.5,0.119,0.587,0,9,459,1,1,0
56.78,34601,3.3,0.251,0.777,0,9,490,0,0,0
41.95,5384,38.4,0.087,0.583,0,6,264,0,0,0
37.23,85554,42.25,0.081,0.829,2,5,916,0,0,0
59.41,71655,2.66,0.342,0.58,0,10,1648,0,0,0
41.0,62683,2.57,0.442,0.945,0,16,960,1,0,0
53.88,82488,5.54,0.175,0.993,0,12,78,1,0,0
30.85,28835,11.02,0.057,0.717,1,11,341,1,1,0
22.12,21409,19.02,0.31,0.998,0,8,314,1,1,0
17.49,17676,16.62,0.164,0.578,0,8,1203,0,0,0
